date,time,local_date,local_time,player_count,wayback_url
2005-11-24,21:23:34,2005-11-24,15:23:34,107107,https://web.archive.org/web/20051124212334/http://www.runescape.com/title.ws
2005-11-24,22:50:10,2005-11-24,16:50:10,97322,https://web.archive.org/web/20051124225010/http://www.runescape.com/title.ws
2005-11-24,22:52:33,2005-11-24,16:52:33,97163,https://web.archive.org/web/20051124225233/http://www.runescape.com/title.ws
2005-11-25,00:31:01,2005-11-24,18:31:01,100435,https://web.archive.org/web/20051125003101/http://www.runescape.com/title.ws
2005-11-25,01:44:33,2005-11-24,19:44:33,102656,https://web.archive.org/web/20051125014433/http://www.runescape.com/title.ws
2005-11-25,03:17:44,2005-11-24,21:17:44,102036,https://web.archive.org/web/20051125031744/http://www.runescape.com/title.ws
2005-11-25,03:19:53,2005-11-24,21:19:53,102029,https://web.archive.org/web/20051125031953/http://www.runescape.com/title.ws
2005-11-25,04:18:50,2005-11-24,22:18:50,88992,https://web.archive.org/web/20051125041850/http://www.runescape.com/title.ws
2005-11-25,04:29:13,2005-11-24,22:29:13,87090,https://web.archive.org/web/20051125042913/http://www.runescape.com/title.ws
2005-11-25,09:02:42,2005-11-25,03:02:42,41481,https://web.archive.org/web/20051125090242/http://www.runescape.com/title.ws
2005-11-26,09:58:14,2005-11-26,03:58:14,79138,https://web.archive.org/web/20051126095814/http://www.runescape.com/title.ws
2005-11-26,17:33:32,2005-11-26,11:33:32,152475,https://web.archive.org/web/20051126173332/http://www.runescape.com/title.ws
2005-11-27,01:22:16,2005-11-26,19:22:16,123794,https://web.archive.org/web/20051127012216/http://www.runescape.com/title.ws
2005-11-27,01:26:27,2005-11-26,19:26:27,123959,https://web.archive.org/web/20051127012627/http://www.runescape.com/title.ws
2005-11-27,08:48:38,2005-11-27,02:48:38,72624,https://web.archive.org/web/20051127084838/http://www.runescape.com/title.ws
2005-11-28,01:10:45,2005-11-27,19:10:45,114634,https://web.archive.org/web/20051128011045/http://www.runescape.com/title.ws
2005-11-29,02:54:26,2005-11-28,20:54:26,88440,https://web.archive.org/web/20051129025426/http://www.runescape.com/title.ws
2005-11-29,08:42:19,2005-11-29,02:42:19,27712,https://web.archive.org/web/20051129084219/http://www.runescape.com/title.ws
2005-11-29,09:44:08,2005-11-29,03:44:08,25646,https://web.archive.org/web/20051129094408/http://www.runescape.com/title.ws
2005-11-30,04:08:44,2005-11-29,22:08:44,57122,https://web.archive.org/web/20051130040844/http://www.runescape.com/title.ws
2005-11-30,09:52:00,2005-11-30,03:52:00,26638,https://web.archive.org/web/20051130095200/http://www.runescape.com/title.ws
2005-11-30,23:43:25,2005-11-30,17:43:25,115480,https://web.archive.org/web/20051130234325/http://www.runescape.com/title.ws
2005-12-01,03:22:11,2005-11-30,21:22:11,74643,https://web.archive.org/web/20051201032211/http://www.runescape.com/title.ws
2005-12-01,11:07:26,2005-12-01,05:07:26,27416,https://web.archive.org/web/20051201110726/http://www.runescape.com/title.ws
2005-12-02,01:41:02,2005-12-01,19:41:02,113273,https://web.archive.org/web/20051202014102/http://www.runescape.com/title.ws
2005-12-03,03:25:02,2005-12-02,21:25:02,121247,https://web.archive.org/web/20051203032502/http://www.runescape.com/title.ws
2005-12-03,08:45:58,2005-12-03,02:45:58,72487,https://web.archive.org/web/20051203084558/http://www.runescape.com/title.ws
2005-12-04,02:53:33,2005-12-03,20:53:33,123475,https://web.archive.org/web/20051204025333/http://www.runescape.com/title.ws
2005-12-04,02:54:15,2005-12-03,20:54:15,123335,https://web.archive.org/web/20051204025415/http://www.runescape.com/title.ws
2005-12-04,09:37:15,2005-12-04,03:37:15,72821,https://web.archive.org/web/20051204093715/http://www.runescape.com/title.ws
2005-12-05,01:42:46,2005-12-04,19:42:46,111691,https://web.archive.org/web/20051205014246/http://www.runescape.com/title.ws
2005-12-05,10:28:55,2005-12-05,04:28:55,27720,https://web.archive.org/web/20051205102855/http://www.runescape.com/title.ws
2005-12-06,08:43:05,2005-12-06,02:43:05,32719,https://web.archive.org/web/20051206084305/http://www.runescape.com/title.ws
